,Gene,Comparison,Significance
PiD_vs_CTL.SCN2A,SCN2A,PiD_vs_CTL,Significant
PiD_vs_CTL.IGHG1,IGHG1,PiD_vs_CTL,Significant
PiD_vs_CTL.USP7,USP7,PiD_vs_CTL,Significant
PiD_vs_CTL.S100B,S100B,PiD_vs_CTL,Significant
PiD_vs_CTL.ADAP1,ADAP1,PiD_vs_CTL,Significant
PiD_vs_CTL.BSN,BSN,PiD_vs_CTL,Significant
PiD_vs_CTL.SNAP91,SNAP91,PiD_vs_CTL,Significant
PiD_vs_CTL.PPFIA3,PPFIA3,PiD_vs_CTL,Significant
PiD_vs_CTL.JAM3,JAM3,PiD_vs_CTL,Significant
PiD_vs_CTL.CRYAB,CRYAB,PiD_vs_CTL,Significant
PiD_vs_CTL.PHACTR1,PHACTR1,PiD_vs_CTL,Significant
PiD_vs_CTL.PALM2,PALM2,PiD_vs_CTL,Significant
PiD_vs_CTL.PGLS,PGLS,PiD_vs_CTL,Significant
PiD_vs_CTL.LRRC57,LRRC57,PiD_vs_CTL,Significant
PiD_vs_CTL.WDR47,WDR47,PiD_vs_CTL,Significant
PiD_vs_CTL.PI4KA,PI4KA,PiD_vs_CTL,Significant
PiD_vs_CTL.MAP2K1,MAP2K1,PiD_vs_CTL,Significant
PiD_vs_CTL.RGS7BP,RGS7BP,PiD_vs_CTL,Significant
PiD_vs_CTL.MROH1,MROH1,PiD_vs_CTL,Significant
PiD_vs_CTL.PACSIN1,PACSIN1,PiD_vs_CTL,Significant
PiD_vs_CTL.PALM,PALM,PiD_vs_CTL,Significant
PiD_vs_CTL.CLIP2,CLIP2,PiD_vs_CTL,Significant
PiD_vs_CTL.KLC1,KLC1,PiD_vs_CTL,Significant
PiD_vs_CTL.PPM1H,PPM1H,PiD_vs_CTL,Significant
PiD_vs_CTL.FSD1,FSD1,PiD_vs_CTL,Significant
PiD_vs_CTL.TAGLN3,TAGLN3,PiD_vs_CTL,Significant
PiD_vs_CTL.RAB1A,RAB1A,PiD_vs_CTL,Significant
PiD_vs_CTL.TCEB1,TCEB1,PiD_vs_CTL,Significant
PiD_vs_CTL.PTPRC,PTPRC,PiD_vs_CTL,Significant
PiD_vs_CTL.ROCK2,ROCK2,PiD_vs_CTL,Significant
PiD_vs_CTL.LMNA,LMNA,PiD_vs_CTL,Significant
PiD_vs_CTL.VCL,VCL,PiD_vs_CTL,Significant
PiD_vs_CTL.DNM3,DNM3,PiD_vs_CTL,Significant
PiD_vs_CTL.VPS35,VPS35,PiD_vs_CTL,Significant
PiD_vs_CTL.PIP4K2B,PIP4K2B,PiD_vs_CTL,Significant
PiD_vs_CTL.GRHPR,GRHPR,PiD_vs_CTL,Significant
PiD_vs_CTL.CORO2B,CORO2B,PiD_vs_CTL,Significant
PiD_vs_CTL.ARF5,ARF5,PiD_vs_CTL,Significant
PiD_vs_CTL.LAMC1,LAMC1,PiD_vs_CTL,Significant
PiD_vs_CTL.FABP3,FABP3,PiD_vs_CTL,Significant
PiD_vs_CTL.LGALS3BP,LGALS3BP,PiD_vs_CTL,Significant
PiD_vs_CTL.CTBP1,CTBP1,PiD_vs_CTL,Significant
PiD_vs_CTL.AASDHPPT,AASDHPPT,PiD_vs_CTL,Significant
PiD_vs_CTL.GMPS,GMPS,PiD_vs_CTL,Significant
PiD_vs_CTL.PLIN3,PLIN3,PiD_vs_CTL,Significant
PiD_vs_CTL.NID1,NID1,PiD_vs_CTL,Significant
PiD_vs_CTL.YES1,YES1,PiD_vs_CTL,Significant
PiD_vs_CTL.PNPO,PNPO,PiD_vs_CTL,Significant
PiD_vs_CTL.TESC,TESC,PiD_vs_CTL,Significant
PiD_vs_CTL.ATP2B3,ATP2B3,PiD_vs_CTL,Significant
